Book_ID,Title,Writer_ID,Genre_ID,Publication_Year,Availability_Status,Description,Cover_Image
BK047,World War Z,WT045,GN005,2006,Available,"An oral history of a global zombie outbreak, detailing human resilience and struggle.",BK047.jpeg
BK048,The Shining,WT046,GN005,1977,Available,A family’s descent into madness while caretaking a haunted hotel in the isolated Rockies.,BK048.jpeg
BK049,Coraline,WT047,GN005,2002,Available,A young girl discovers a parallel world with sinister secrets behind its charming facade.,BK049.jpeg
BK050,Pet Sematary,WT048,GN005,1983,Available,A story of a family’s grief and the consequences of bringing the dead back to life.,BK050.jpeg
BK051,The Book Thief,WT073,GN006,2005,Available,"A story set in Nazi Germany about a young girl who steals books and shares them, narrated by Death.",BK051.jpeg
BK052,All the Light We Cannot See,WT059,GN006,2014,Available,The lives of a blind French girl and a German boy converge during WWII.,BK052.jpeg
BK053,The Nightingale,WT073,GN006,2015,Available,A tale of two sisters in Nazi-occupied France and their roles in the resistance.,BK053.jpeg
BK054,Memoirs of a Geisha,WT060,GN006,1997,Available,"The life of a young Japanese girl sold to a geisha house, exploring her rise in 20th-century Japan.",BK054.jpeg
BK055,Atonement,WT056,GN006,2001,Available,A misunderstanding with lifelong consequences changes the lives of a young couple during WWII.,BK055.jpeg
BK056,The Pillars of the Earth,WT073,GN006,1989,Available,"The building of a cathedral in medieval England, filled with love, ambition, and intrigue.",BK056.jpeg
BK057,Wolf Hall,WT073,GN006,2009,Available,A portrayal of Thomas Cromwell’s rise to power in the court of Henry VIII.,BK057.jpeg
BK058,The Other Boleyn Girl,WT073,GN006,2001,Available,"A historical drama about Mary Boleyn and her sister Anne, competing for the love of Henry VIII.",BK058.jpeg
BK059,The Underground Railroad,WT059,GN006,2016,Available,An alternative history where the Underground Railroad is an actual railroad helping slaves escape.,BK059.jpeg
BK060,The Help,WT091,GN006,2009,Available,The intertwined lives of Black maids and their white employers in 1960s Mississippi.,BK060.jpeg
BK061,Sapiens: A Brief History of Humankind,WT099,GN007,2011,Available,An exploration of humanity's evolution from prehistoric times to the modern age.,BK061.jpeg
BK062,Becoming,WT091,GN007,2018,Available,"A memoir from the former First Lady, recounting her journey from Chicago to the White House.",BK062.jpeg
BK063,Educated,WT073,GN007,2018,Available,"A woman’s journey from an isolated, survivalist upbringing to earning a PhD at Cambridge.",BK063.jpeg
BK064,The Immortal Life of Henrietta Lacks,WT099,GN007,2010,Available,"The story of a woman whose cancer cells were harvested without consent, leading to significant scientific advances.",BK064.jpeg
BK065,The Wright Brothers,WT060,GN007,2015,Available,"The story of Wilbur and Orville Wright, pioneers of aviation, and their groundbreaking invention.",BK065.jpeg
BK066,Unbroken,WT060,GN007,2010,Available,"The harrowing true story of WWII hero Louis Zamperini, a former Olympian and POW.",BK066.jpeg
BK067,The Glass Castle,WT091,GN007,2005,Available,A memoir of a turbulent childhood with nonconformist parents.,BK067.jpeg
BK068,Into the Wild,WT069,GN007,1996,Available,"The life of Christopher McCandless, who ventured into the Alaskan wilderness and perished there.",BK068.jpeg
BK069,Born a Crime,WT066,GN007,2016,Available,"A humorous and poignant memoir from the comedian, reflecting on his childhood in apartheid South Africa.",BK069.jpeg
BK070,The Devil in the White City,WT099,GN007,2003,Available,The true story of a serial killer at the 1893 Chicago World’s Fair and the architect behind it.,BK070.jpeg
BK071,I Know Why the Caged Bird Sings,WT088,GN008,1969,Available,A powerful memoir about Angelou’s childhood and overcoming adversity.,BK071.jpeg
BK072,The Diary of a Young Girl,WT073,GN008,1947,Available,The famous diary of a Jewish girl hiding from the Nazis in WWII.,BK072.jpeg
BK073,Long Walk to Freedom,WT080,GN008,1994,Available,"Mandela’s autobiography, recounting his fight against apartheid in South Africa.",BK073.jpeg
BK074,"Eat, Pray, Love",WT091,GN008,2006,Available,"One woman’s yearlong journey to find herself through food, spirituality, and love.",BK074.jpeg
BK075,Bossypants,WT066,GN008,2011,Available,Comedian Tina Fey’s humorous memoir on her career and personal life.,BK075.jpeg
BK076,When Breath Becomes Air,WT069,GN008,2016,Available,A neurosurgeon’s reflections on life and facing terminal illness.,BK076.jpeg
BK077,Wild,WT091,GN008,2012,Available,Strayed’s transformative solo hike along the Pacific Crest Trail following personal loss.,BK077.jpeg
BK078,The Year of Magical Thinking,WT089,GN008,2005,Available,A memoir on grief and healing after the loss of Didion’s husband.,BK078.jpeg
BK079,Just Kids,WT089,GN008,2010,Available,"A story of friendship, love, and art in New York City with photographer Robert Mapplethorpe.",BK079.jpeg
BK080,A Moveable Feast,WT076,GN008,1964,Available,Hemingway’s memoir of life as a young writer in Paris.,BK080.jpeg
BK081,Harry Potter and the Sorcerer’s Stone,WT076,GN009,1997,Available,Harry discovers he’s a wizard and begins his studies at Hogwarts School.,BK081.jpeg
BK082,The Hunger Games,WT066,GN009,2008,Available,"Katniss Everdeen volunteers to participate in a televised, deadly competition.",BK082.jpeg
BK083,The Fault in Our Stars,WT066,GN009,2012,Available,A love story between two teens facing life-threatening illness.,BK083.jpeg
BK084,Divergent,WT066,GN009,2011,Available,"In a dystopian society, Tris chooses a faction that challenges her identity and survival.",BK084.jpeg
BK085,The Perks of Being a Wallflower,WT066,GN009,1999,Available,"A shy teen’s letters reveal his struggles with trauma, friendship, and love.",BK085.jpeg
BK086,Thirteen Reasons Why,WT066,GN009,2007,Available,A girl leaves behind tapes explaining the reasons for her tragic choice.,BK086.jpeg
BK087,Looking for Alaska,WT066,GN009,2005,Available,A teen’s search for answers after the sudden death of a close friend.,BK087.jpeg
BK088,The Maze Runner,WT066,GN009,2009,Available,A group of teens in a maze must find a way out while facing deadly obstacles.,BK088.jpeg
BK089,Eleanor & Park,WT066,GN009,2013,Available,(See description above in Romance),BK089.jpeg
BK090,Speak,WT066,GN009,1999,Available,A teenage girl finds her voice after a traumatic incident during her freshman year.,BK090.jpeg
BK091,Charlotte's Web,WT069,GN010,1952,Available,"A pig named Wilbur is saved by his friend, Charlotte the spider, through her clever web messages.",BK091.jpeg
BK092,The Little Prince,WT090,GN010,1943,Available,"A young prince travels across planets, learning lessons on life and love.",BK092.jpeg
BK093,"The Lion, the Witch and the Wardrobe",WT074,GN010,1950,Available,Four siblings discover a magical world in a wardrobe and fight to save it from an evil witch.,BK093.jpeg
BK094,Where the Wild Things Are,WT079,GN010,1963,Available,A boy named Max imagines traveling to a land of wild creatures.,BK094.jpeg
BK095,Alice's Adventures in Wonderland,WT080,GN010,1865,Available,Alice falls into a surreal world with strange characters and logic.,BK095.jpeg
BK096,Goodnight Moon,WT069,GN010,1947,Available,A gentle bedtime story where a bunny says goodnight to familiar objects in the room.,BK096.jpeg
BK097,Matilda,WT080,GN010,1988,Available,A gifted girl uses her intelligence and telekinetic powers to overcome her neglectful parents and a cruel headmistress.,BK097.jpeg
BK098,The Secret Garden,WT080,GN010,1911,Available,"A young girl discovers a hidden, neglected garden and transforms it, along with her own life.",BK098.jpeg
BK099,The Wind in the Willows,WT080,GN010,1908,Available,"The adventures of Mole, Rat, Badger, and Toad in the English countryside.",BK099.jpeg
BK100,Harry Potter and the Chamber of Secrets,WT076,GN009,1998,Available,"Harry returns to Hogwarts for his second year, uncovering dark secrets and facing new challenges.",BK100.jpeg
